	Unnamed: 0	Ratsmitglied	Zutrittsberechtigte	Funktion	Partei	Kanton	page	document	Partei DE	Fraktion	Sektor	Organisation	Score
433	1434	Landolt Martin, BDP/GL	Hottiger Steve	UBS AG	BDP	GL	15.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	BDP	BDP Fraktion	Banken	UBS AG	100
434	1443	Maire Jacques-André, PSS/NE	Fischer Gabriel	Travail.Suisse	PSS	NE	16.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Arbeitnehmerorganisationen	Travail.Suisse	100
435	1455	Masshardt Nadine, SP/BE	Fischer Alex	WWF Schweiz	SP	BE	16.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Umwelt & Natur	WWF Schweiz	100
436	1463	Meyer Mattea, SP/ZH	Gross Dominik	Alliance Sud	SP	ZH	17.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Hilfswerke international	Alliance Sud	100
437	1464	Meyer Mattea, SP/ZH	Lampart Daniel	Schweizerischer Gewerkschaftsbund	SP	ZH	17.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Arbeitnehmerorganisationen	Schweizerischer Gewerkschaftsbund	100
438	1477	Munz Martina, SP/SH	Hruschka Constantin	Schweizerische Flüchtlingshilfe	SP	SH	18.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Migration	Schweizerische Flüchtlingshilfe SFH	95
439	1478	Munz Martina, SP/SH	Schuler Kaspar	Allianz Atomausstieg	SP	SH	18.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	AKW-Gegner	Allianz Atomausstieg	100
440	1482	Naef Martin, SP/ZH	Herkenrath Marc	Alliance Sud	SP	ZH	18.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Hilfswerke international	Alliance Sud	100
441	1487	Nidegger Yves, UDC/GE	Zijdenbos Theo	Vereinigung Schweizerischer Privatbanken	UDC	GE	18.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Banken	Vereinigung Schweizerischer Privatbanken	100
442	1488	Nidegger Yves, UDC/GE	Bollag Josef	Institute for Security Analysis and Strategic Networking	UDC	GE	18.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Sicherheit allgemein	Institut für Sicherheitsanalysen und strategisches Networking - Stiftung (ISSN)	90
443	1499	Parmelin Guy, UDC/VD	Cueni Thomas	Interpharma	UDC	VD	19.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Pharma	Interpharma	100
444	1501	Pezzatti Bruno, FDP-Liberale/ZG	Mühlethaler Jan	Suva	FDP	ZG	19.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	Versicherungen	Suva	100
445	1502	Pezzatti Bruno, FDP-Liberale/ZG	Enggasser Josiane	Schweizer Obstverband	FDP	ZG	19.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	Obstwirtschaft	Schweizer Obstverband	100
446	1503	Pfister Gerhard, CVP/ZG	Studerus Konrad	Studerus und Partner AG	CVP	ZG	19.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Consulting/PR	Studerus und Partner AG	100
447	1504	Pfister Gerhard, CVP/ZG	Mutter Bettina	Dynamics Group AG	CVP	ZG	19.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Consulting/PR	Dynamics Group	95
448	1509	Portmann Hans-Peter, FDP-Liberale/ZH	Hammer Andreas	KPMG	FDP	ZH	20.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	Advokaturen/Treuhand	KPMG AG	90
449	1511	Quadranti Rosmarie, BDP/ZH	Baumann Bastian	Pink Cross	BDP	ZH	20.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	BDP	BDP Fraktion	Gleichstellung	Pink Cross	100
450	1523	Rickli Natalie Simone, SVP/ZH	Bachmann Jürg	Verband Schweizer Privatradios (VSP)	SVP	ZH	21.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Elektronische Medien	Verband Schweizer Privatradios	95
451	1524	Rickli Natalie Simone, SVP/ZH	Sennhauser Marcel	scienceindustries	SVP	ZH	21.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Pharma	Scienceindustries	100
452	1525	Riklin Kathy, CVP/ZH	Weissen Roman	Swisscleantech	CVP	ZH	21.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Cleantech	swisscleantech	100
453	1529	Ritter Markus, CVP/SG	Rufer Martin	Schweizer Bauernverband	CVP	SG	21.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Landwirtschaft allgemein	Schweizer Bauernverband	100
454	1532	Romano Marco, CVP/TI	Borioli Sandoz Valérie	Travail.Suisse	CVP	TI	21.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Arbeitnehmerorganisationen	Travail.Suisse	100
455	1539	Rutz Gregor, SVP/ZH	Isler Claudia	IG Freiheit	SVP	ZH	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Staatspolitik allgemein	IG Freiheit	100
456	1540	Rutz Gregor, SVP/ZH	Lauber Tamara	Aktion Medienfreiheit	SVP	ZH	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Medien allgemein	Aktion Medienfreiheit	100
457	1542	Rytz Regula, GPS/BE	Bianchi Doris	Schweizerischer Gewerkschaftsbund	GPS	BE	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	GPS	Grüne Fraktion	Arbeitnehmerorganisationen	Schweizerischer Gewerkschaftsbund	100
458	1547	Schelbert Louis, GPS/LU	Liner Marcel	Pro Natura	GPS	LU	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	GPS	Grüne Fraktion	Umwelt & Natur	Pro Natura Solothurn	90
459	1548	Schelbert Louis, GPS/LU	Schmid Adrian	Schweizer Heimatschutz	GPS	LU	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	GPS	Grüne Fraktion	Kulturinstitutionen	Schweizer Heimatschutz	100
460	1549	Schenker Silvia, SP/BS	Kuert Killer Matthias	Travail.Suisse	SP	BS	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Arbeitnehmerorganisationen	Travail.Suisse	100
461	1551	Schilliger Peter, FDP-Liberale/LU	Kaufmann Hans-Peter	suissetec	FDP	LU	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	Baunebengewerbe	Schweizerisch-Liechtensteinischer Gebäudetechnikverband (suissetec)	90
462	1552	Schilliger Peter, FDP-Liberale/LU	Müller Roland A.	Schweizerischer Arbeitgeberverband	FDP	LU	22.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	KMU/Gewerbe/Arbeitgeber	Schweizerischer Arbeitgeberverband	100
463	1557	Schneeberger Daniela, FDP-Liberale/BL	Lincoln Vanessa	Treuhand Suisse	FDP	BL	23.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	Advokaturen/Treuhand	Treuhand Suisse	100
464	1559	Schneider-Schneiter Elisabeth, CVP/BL	Saladin Franz	Handelskammer beider Basel	CVP	BL	23.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Wirtschaft allgemein	Handelskammer beider Basel	100
465	1565	Seiler Graf Priska, SP/ZH	Fust Michael	WWF Schweiz	SP	ZH	23.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Umwelt & Natur	WWF Schweiz	100
466	1567	Semadeni Silva, SP/GR	Dietler Christof	Agrarallianz	SP	GR	23.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Landwirtschaft allgemein	Agrarallianz	100
467	1568	Semadeni Silva, SP/GR	Ulber Marcus	Pro Natura	SP	GR	23.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Umwelt & Natur	Pro Natura Solothurn	90
468	1571	Sommaruga Carlo, PSS/GE	Egger Michel	Alliance Sud	PSS	GE	24.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Hilfswerke international	Alliance Sud	100
469	1572	Sommaruga Carlo, PSS/GE	Corpataux Magali	agile.ch	PSS	GE	24.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Behinderung	AGILE.CH	100
470	1573	Stahl Jürg, SVP/ZH	Grichting Thomas Johannes	Groupe Mutuel	SVP	ZH	24.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Krankenkassen	Groupe Mutuel Services SA	90
471	1574	Stahl Jürg, SVP/ZH	Miescher Alex	Schweizerischer Fussballverband	SVP	ZH	24.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Breitensport	Schweizerischer Fussballverband	100
472	1582	Streiff-Feller Marianne, EVP/BE	Saxenhofer Peter	INSOS Schweiz	EVP	BE	24.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Behinderung	INSOS Schweiz	100
473	1593	Vogler Karl, csp-ow/OW	Stückelberger Ueli	Verband öffentlicher Verkehr, Seilbahnen Schweiz	csp	OW	25.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	CVP	CVP-Fraktion	Öffentlicher Verkehr	Seilbahnen Schweiz	90
474	1598	von Siebenthal Erich, SVP/BE	Flückiger Stefan	Berner Waldbesitzer	SVP	BE	25.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Holz- und Waldwirtschaft	Berner Waldbesitzer	100
475	1603	Walti Beat, FDP-Liberale/ZH	Vogt Valentin	Schweizerischer Arbeitgeberverband	FDP	ZH	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	FDP	FDP-Liberale Fraktion	KMU/Gewerbe/Arbeitgeber	Schweizerischer Arbeitgeberverband	100
476	1610	Weibel Thomas, glp/ZH	Eisenhut Antonia Katharina	aqua viva	glp	ZH	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	glp	Grünliberale Fraktion	Wasser	Aqua Viva	100
477	1611	Weibel Thomas, glp/ZH	Beglinger Nick	Wirtschaftsverband swisscleantech	glp	ZH	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	glp	Grünliberale Fraktion	Cleantech	swisscleantech	90
478	1612	Wermuth Cédric, SP/AG	Herrmann Manuel	Alpeninitiative	SP	AG	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SP	Sozialdemokratische Fraktion	Umwelt & Natur	Alpen-Initiative	97
479	1614	Wobmann Walter, SVP/SO	Burgener Andreas	auto-schweiz	SVP	SO	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Individualverkehr	auto-schweiz Vereinigung Schweizer Automobil-Importeuere	90
480	1615	Wobmann Walter, SVP/SO	Launaz François	auto-schweiz	SVP	SO	26.0	Liste der Zutrittberechtigte 2015-12-15 N.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Individualverkehr	auto-schweiz Vereinigung Schweizer Automobil-Importeuere	90
481	1622	Aebi Andreas, SVP/BE	Schneider Donat	aaremilch AG	SVP	BE	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Milchwirtschaft	aaremilch AG	100
482	1623	Aebi Andreas, SVP/BE	Wyss Andreas	Berner Bauernverband	SVP	BE	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Landwirtschaft allgemein	Berner Bauern Verband	98
483	1624	Aebischer Matthias, SP/BE	Bütikofer Etienne	Bildungsorganisation savoirsuisse	SP	BE	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Bildung/Wissenschaft	savoirsuisse	90
484	1630	Amaudruz Céline, UDC/GE	Eperon Patrick	Centre patronal	UDC	GE	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	KMU/Gewerbe/Arbeitgeber	Centre Patronal	100
485	1631	Amaudruz Céline, UDC/GE	Trunz Manuel	UBS AG	UDC	GE	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Banken	UBS AG	100
486	1632	Amherd Viola, CVP/VS	Castelli Nello	Swiss Leading Hospitals	CVP	VS	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Krankenkassen	The Swiss Leading Hospitals	95
487	1633	Amherd Viola, CVP/VS	Mader Frédéric	Kinderlobby	CVP	VS	2.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Kinder/Jugend	Kinderlobby Schweiz	90
488	1636	Amstutz Adrian, SVP/BE	Jaussi Reto	ASTAG Schweizerischer Nutzfahrzeugverband	SVP	BE	3.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Logistik/Transport	Astag, Schweizerischer Nutzfahrzeugverband	99
489	1648	Bauer Philippe, PLR/NE	Moret Alfred	Suissetec	PLR	NE	3.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Baunebengewerbe	Schweizerisch-Liechtensteinischer Gebäudetechnikverband (suissetec)	90
490	1650	Bäumle Martin, glp/ZH	Zenhäusern Martin	Zenhäusern & Partner AG	glp	ZH	3.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Consulting/PR	Zenhäusern & Partner AG Unternehmensberatung für Öffentlichkeitsarbeit	90
491	1655	Bendahan Samuel, PSS/VD	Wyss Reto	Schweizerischer Gewerkschaftsbund (SGB)	PSS	VD	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Arbeitnehmerorganisationen	Schweizerischer Gewerkschaftsbund	95
492	1656	Bertschy Kathrin, glp/BE	Trummer Christoph	Musikschaffende Schweiz	glp	BE	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Musik	Verein Musikschaffende Schweiz	95
493	1657	Bertschy Kathrin, glp/BE	Zuber Jessica	Geschäftsstelle Alliance F & Operation Libero Bern	glp	BE	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Staatspolitik allgemein	Operation Libero	90
494	1658	Bigler Hans-Ulrich, FDP-Liberale/ZH	Kläy Dieter	Schweizerischer Gewerbeverband sgv	FDP	ZH	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	KMU/Gewerbe/Arbeitgeber	Schweizerischer Gewerbeverband	95
495	1660	Birrer-Heimo Prisca, SP/LU	Stalder Sara	Stiftung für Konsumentenschutz	SP	LU	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Konsumentenschutz	Stiftung für Konsumentenschutz (SKS)	95
496	1666	Brand Heinz, SVP/GR	Nold Rebetez Verena	santésuisse	SVP	GR	4.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Krankenkassen	Santésuisse	100
497	1668	Brélaz Daniel, PES/VD	Jakob Stefan	Ecopolitics	PES	VD	5.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Consulting/PR	Ecopolitics GmbH	95
498	1669	Brélaz Daniel, PES/VD	Michaud Gigon Sophie	Fédération romande des consommateurs (FRC)	PES	VD	5.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Konsumentenschutz	Fédération romande des consommateurs (FRC)	100
499	1673	Brunner Toni, SVP/SG	Bähler Thomas	Verband Stahl-, Metall- und Papier-Recycling Schweiz	SVP	SG	5.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Abfallwirtschaft	Verband Stahl-, Metall- und Papier-Recycling Schweiz VSMR	95
500	1681	Bühler Manfred, UDC/BE	Durst Marcel	Association Spitex privée Suisse (ASPS)	UDC	BE	5.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Spitex	Association Spitex privée Suisse ASPS	99
501	1694	Carobbio Guscetti Marina, SP/TI	Töngi Michael	Associazione Svizzera inquilini	SP	TI	6.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Mieter	Associazione Svizzera Inquilini – Federazione della Svizzera italiana (ASI)	90
502	1700	Chiesa Marco, UDC/TI	Denti Franco Eugenio	Ordine dei Medici del Canton Ticino	UDC	TI	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Arztmedizin	Ordine dei Medici del Canton Ticino	100
503	1704	de Buman Dominique, PDC/FR	Gisi Barbara	Schweizer Tourismus-Verband	PDC	FR	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Tourismus/Gastronomie	Schweizer Tourismus-Verband	100
504	1705	de Buman Dominique, PDC/FR	Shahinian Sarkis	Parlamentarische Gruppe Schweiz-Armenien	PDC	FR	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Aussenpolitik allgemein	Parlamentarische Gruppe Schweiz - Armenien	98
505	1706	de Courten Thomas, SVP/BL	Gfeller Kurt	Schweizerischer Gewerbeverband	SVP	BL	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	KMU/Gewerbe/Arbeitgeber	Schweizerischer Gewerbeverband	100
506	1707	de Courten Thomas, SVP/BL	Müller Axel	Intergenerika	SVP	BL	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Pharma	Intergenerika	100
507	1710	Derder Fathi, PLR/VD	Gaggini Cristina	Economiesuisse	PLR	VD	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Wirtschaft allgemein	economiesuisse	100
508	1714	Dobler Marcel, FDP-Liberale/SG	Brunner Susanne	economiesuisse	FDP	SG	7.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Wirtschaft allgemein	economiesuisse	100
509	1720	Eichenberger-Walther Corina, FDP-		Migros-Genossenschaftsbund	FDP	P-			FDP	FDP-Liberale Fraktion	Detailhandel	Migros-Genossenschafts-Bund	98
510	1730	Fehlmann Rielle Laurence, PSS/GE	Savary Jean-Félix	GREA-Groupement Romand d'Etudes des Addictions	PSS	GE	8.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Gesundheit	Groupement Romand d'Etudes des Addictions GREA	95
511	1733	Feri Yvonne, SP/AG	Bühlmann Regula	Schweizerischer Gewerkschaftsbund SGB	SP	AG	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Arbeitnehmerorganisationen	Schweizerischer Gewerkschaftsbund	95
512	1735	Fiala Doris, FDP-Liberale/ZH	Thalmann Irene	Generalsekretärin FDP.Die Liberalen Frauen Schweiz	FDP	ZH	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Parteien	FDP Die Liberalen Frauen	90
513	1736	Fiala Doris, FDP-Liberale/ZH	Locher Sylvia	Pro Single Schweiz	FDP	ZH	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Gemeinwohl/Gesellschaft	Pro Single Schweiz	100
514	1737	Flach Beat, glp/AG	Hämisegger Kuno	Schweizerische Bankiervereinigung	glp	AG	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Banken	Schweizerische Bankiervereinigung	100
515	1738	Flach Beat, glp/AG	Bächtold Hans-Georg	SIA Schweizerischer Ingenieur- und Architektenverein	glp	AG	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Bauhauptgewerbe	Schweizerischer Ingenieur- und Architektenverein	96
516	1740	Flückiger-Bäni Sylvia, SVP/AG	Starck Christoph	Lignum Holzwirtschaft Schweiz	SVP	AG	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Holz- und Waldwirtschaft	Lignum Holzwirtschaft Schweiz	100
517	1741	Fluri Kurt, FDP-Liberale/SO	Schmid Michael	Verband der Schweizerischen Gasindustrie	FDP	SO	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Uhrenindustrie	Verband der Schweizerischen Uhrenindustrie	90
518	1742	Fluri Kurt, FDP-Liberale/SO	Widmer Roman	Schweizerischer Städteverband	FDP	SO	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	Städte	Schweizerischer Städteverband	100
519	1743	Frehner Sebastian, SVP/BS	Cueni Thomas	Interpharma	SVP	BS	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Pharma	Interpharma	100
520	1746	Fridez Pierre-Alain, PSS/JU	Konrad Christelle	Réflexion Santé Suisse	PSS	JU	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Gesundheit	Réflexion Santé Suisse	100
521	1747	Friedl Claudia, SP/SG	Schmassmann Eva	Alliance sud	SP	SG	9.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Hilfswerke international	Alliance Sud	100
522	1752	Geissbühler Andrea Martina, SVP/BE	Bundi Ryser Johanna	Verband Schweizerischer Polizei-Beamter	SVP	BE	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Polizei	Verband Schweizerischer Polizeibeamter	99
523	1755	Giezendanner Ulrich, SVP/AG	Kirchhofer André	ASTAG	SVP	AG	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SVP	Fraktion der Schweizerischen Volkspartei	Logistik/Transport	Astag, Sektion Nordwestschweiz	90
524	1757	Girod Bastien, GPS/ZH	Barmettler Franziska	Wirtschaftsverband swisscleantech	GPS	ZH	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Cleantech	swisscleantech	90
525	1758	Girod Bastien, GPS/ZH	Hofstetter Patrick	WWF Schweiz	GPS	ZH	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Umwelt & Natur	WWF Schweiz	100
526	1759	Glanzmann-Hunkeler Ida, CVP/LU	Graf Guido	Regierungsrat des Kantons Luzern	CVP	LU	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Kantone/Regionen	Regierungsrat des Kantons Luzern	100
527	1763	Glättli Balthasar, GPS/ZH	Staudenmann Jürg	Alliance Sud	GPS	ZH	10.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Hilfswerke international	Alliance Sud	100
528	1767	Gmür Alois, CVP/SZ	Platzer Casimir	GastroSuisse	CVP	SZ	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Tourismus/Gastronomie	Gastrosuisse	100
529	1768	Gmür Alois, CVP/SZ	Kreber Marcel	Schweizer Brauerei-Verband	CVP	SZ	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Weinbau, Bier und Spirituosen	Schweizer Brauerei-Verband	100
530	1769	Gmür-Schönenberger Andrea, CVP/LU	Bühler Adrian	Communicators	CVP	LU	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Consulting/PR	Communicators AG	95
531	1770	Gmür-Schönenberger Andrea, CVP/LU	Gmür Philipp	Helvetia Versicherungen	CVP	LU	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	CVP	CVP-Fraktion	Pensionskassen	Ergänzungskasse der Helvetia Versicherungen	90
532	1773	Gössi Petra, FDP-Liberale/SZ	Davatz-Höchner Christine	Schweizerischer Gewerbeverband sgv	FDP	SZ	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	FDP	FDP-Liberale Fraktion	KMU/Gewerbe/Arbeitgeber	Schweizerischer Gewerbeverband	95
533	1775	Graf Maya, GPS/BL	Bossard Martin	Bio Suisse	GPS	BL	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Ökologie	Bio Suisse, Vereinigung Schweizer Biolandbau-Organisationen	90
534	1776	Graf Maya, GPS/BL	Goethe Christina	Brot für alle	GPS	BL	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	GPS	Grüne Fraktion	Hilfswerke international	Stiftung Brot für alle	90
535	1777	Graf-Litscher Edith, SP/TG	Graf Harry	ewz	SP	TG	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Energieversorger	ewz	100
536	1778	Graf-Litscher Edith, SP/TG	Stüdeli Walter	Köhler, Stüdeli & Partner GmbH	SP	TG	11.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	SP	Sozialdemokratische Fraktion	Consulting/PR	Köhler, Stüdeli & Partner GmbH	100
537	1781	Grossen Jürg, glp/BE	Frank Michael	Verband Schweizerischer Elektrizitätsunternehmen (VSE)	glp	BE	12.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Energieversorger	Verband Schweizerischer Elektrizitätsunternehmen (VSE)	100
538	1782	Grossen Jürg, glp/BE	Kopp Laura	Verband Schweizerischer Elektro-Installationsfirmen (VSEI)	glp	BE	12.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	glp	Grünliberale Fraktion	Baunebengewerbe	Verband Schweizerischer Elektro-Installationsfirmen	95
539	1783	Grunder Hans, BDP/BE	Köpe Christian	Galenica AG	BDP	BE	12.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	BDP	BDP Fraktion	Pharma	Galenica AG	100
540	1784	Grunder Hans, BDP/BE	Brandt Eric	Verband Swisscleantech	BDP	BE	12.0	2018-01-23 Register der Zutrittsberechtigten NR.pdf	BDP	BDP Fraktion	Cleantech	swisscleantech	90
